RESID,NAME,ADDRESS,CONTACT,TIMINGS,DAYS OPEN,CUISINE,DINING RATING,DELIVERY RATING,KNOWN FOR,PEOPLE LIKED,TOP DISHES,HIGHLIGHTS,AVERAGE COST
3401611,Bhadawar Hotel,"3, Daresi, Near Pathhar Mandi, Mantola, Agra","+918273659922, +919045047744",11am - 12midnight,Mon-Sun,"Fast Food, Chinese",4.1,4.2,,,"Deluxe Thali, Dal Tadka, Shahi Paneer, Panneer Butter Masala, Butter Paneer, Roti, Kadai Paneer","Home Delivery, Indoor Seating, ",Rs. 200 for two people (approx.)
3400850,Urban Deck,"5th Floor, The P L Palace Hotel, MG Road, Sanjay Place, Civil Lines, Agra","+917055608517, +917055608507, +915622850042",1pm - 12midnight,Mon-Sun,"Mexican, Italian, North Indian",4.2,3.7,,"Decor, Rooftop Ambience, Live Music","Cocktails, Pizza, Malai Kofta, Pasta","Home Delivery, Full Bar Available, Indoor Seating, Serves Cocktails, Table booking recommended, Poolside, Rooftop, ","Rs. 1,600 for two people (approx.) Without alcohol"
3400238,Sardar Ji Da Dhaba,"Shop 8, Railway Market, Station Road, Near Agra Cantt Railway Station, Agra Cantt, Agra","+917409555556, +918171117047",11am - 3:30am,Mon-Sun,North Indian,4.0,4.0,,Friendly Staff,"Biryani, Roti, Butter Chicken, Paratha, Panneer Butter Masala, Chicken Handi, Dal Makhani","Breakfast, Home Delivery, Indoor Seating, ",Rs. 400 for two people (approx.)
3401167,The Momo Corner,"1/1-12, Avas Vikas Complex, City Mall, Balkeshwar Colony, Kamla Nagar, Agra",+916396167155,12noon - 11:30pm,Mon-Sun,"Momos, Chinese, Beverages",4.4,3.9,,,"Kurkure Momo, Veg Momos, Chicken Momo, Tandoori Momos, Chilli Paneer, Burgers, Oreo Shake","Home Delivery, Indoor Seating, Table booking recommended, ",Rs. 400 for two people (approx.)
3400016,Pind Balluchi,"Opposite Saga Emporium, Fatehabad Road, Tajganj, Agra","+915622333777, +917500247365, +919837055115",8am - 2am,Mon-Sun,"North Indian, Mughlai",4.1,4.0,,"Friendly Staff, Prompt Service, Decor","Biryani, Dal Makhani, Lassi, Chicken Rara, Raita, Jal-jeera, Dahi Ke Kebab","Home Delivery, Table booking recommended, Wifi, Buffet, Indoor Seating, ","Rs. 1,100 for two people (approx.)"
3400304,The Big Bun,"Khandari Crossing, Civil Lines, Agra","+919368041958, +919358764234, +917055889493",10:30am - 10pm,Mon-Sun,"Fast Food, Burger, Pizza, Rolls, Bakery",,4.0,,,"Burgers, Spring Roll, Hot Dog, Veg Burger, Chicken Sandwich","Home Delivery, ",Rs. 250 for two people (approx.)
3400908,What The Food,"Opposite Axis Imaging Centre, Near Hanuman Mandir, Khandari Road, Surya Nagar, Civil Lines, Agra","+917055116622, +917055788889",2pm - 11:30pm,Mon-Sun,"North Indian, Chinese, Rolls",3.9,3.9,,,"Rolls, Burgers, Chicken Biryani, Crunchy Chicken Burger, Shawarma, Butter Chicken","Home Delivery, Indoor Seating, ",Rs. 400 for two people (approx.)
3400430,Rohit Cakes And Bakes,"D-501, Kamla Nagar, Agra",+919690542929,11am - 10pm,Mon-Sun,Bakery,,4.3,,,"Burgers, Cheese Sandwich","Home Delivery, Desserts and Bakes, ",Rs. 350 for two people (approx.)
3400158,MKOP,"Deepshikha Building, Ground floor, Near Sanjay Cinema, Wazirpura Rd, Sanjay Place, Civil Lines, Agra, Uttar Pradesh 282002",+917455022002,8:30am - 5:30pm,Mon-Sat,"Bakery, Fast Food",4.3,4.5,,,"Brownie, Chocolate Truffle Cake, Hot Dog, Garlic Bread","Home Delivery, Indoor Seating, Desserts and Bakes, ","Rs. 1,000 for two people (approx.)"
3400130,Manoj Restaurant,"1/43, Johari Bazar, Subhash Bazar,Agra, Uttar Pradesh",+918979365626,11am - 10pm,Mon-Sun,"South Indian, Chinese",4.4,,,,"Vada, Pav Bhaji","Vegetarian Only, Indoor Seating, ",Rs. 200 for two people (approx.)
3400025,Jahanpanah,"E 23, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra","+919917999170, +919917999175",12noon - 12midnight,"Mon, Wed-Sun","North Indian, Mughlai, Rolls",3.9,3.3,,"Courteous Staff, Friendly Staff, Prompt Service","Phirni, Butter Chicken, Galauti Kebab, Paratha, Chicken Biryani, Vegetable Biryani, Chicken Jahanpanah","Home Delivery, Indoor Seating, Wifi, ",Rs. 850 for two people (approx.)
